index,id,name,date,record_identifier,status_of_system,latitude,longitude,maximum_sustained_wind_knots,maximum_pressure,34_kt_ne,34_kt_se,34_kt_sw,34_kt_nw,50_kt_ne,50_kt_se,50_kt_sw,50_kt_nw,64_kt_ne,64_kt_se,64_kt_sw,64_kt_nw
19735,EP012004,AGATHA,5/22/04 6:00,,TD,15.4,-108.5,30,1006,0,0,0,0,0,0,0,0,0,0,0,0
19736,EP012004,AGATHA,5/22/04 12:00,,TS,16,-109.1,35,1005,75,75,75,75,0,0,0,0,0,0,0,0
19737,EP012004,AGATHA,5/22/04 18:00,,TS,16.6,-109.6,45,1000,75,75,75,75,0,0,0,0,0,0,0,0
19738,EP012004,AGATHA,5/23/04 0:00,,TS,17.1,-109.9,50,997,75,75,75,75,25,25,25,25,0,0,0,0
19739,EP012004,AGATHA,5/23/04 6:00,,TS,17.5,-110.1,45,1000,50,50,50,50,0,0,0,0,0,0,0,0
19740,EP012004,AGATHA,5/23/04 12:00,,TS,17.9,-110.3,40,1002,50,50,50,50,0,0,0,0,0,0,0,0
19741,EP012004,AGATHA,5/23/04 18:00,,TS,18.2,-110.5,35,1002,50,50,50,50,0,0,0,0,0,0,0,0
19742,EP012004,AGATHA,5/24/04 0:00,,TD,18.5,-110.7,30,1003,0,0,0,0,0,0,0,0,0,0,0,0
19743,EP012004,AGATHA,5/24/04 6:00,,TD,18.7,-110.8,25,1005,0,0,0,0,0,0,0,0,0,0,0,0
19744,EP012004,AGATHA,5/24/04 12:00,,LO,18.9,-110.9,25,1006,0,0,0,0,0,0,0,0,0,0,0,0
19745,EP012004,AGATHA,5/24/04 18:00,,LO,18.8,-111,25,1008,0,0,0,0,0,0,0,0,0,0,0,0
19746,EP012004,AGATHA,5/25/04 0:00,,LO,18.8,-110.7,25,1008,0,0,0,0,0,0,0,0,0,0,0,0
19747,EP012004,AGATHA,5/25/04 6:00,,LO,18.6,-110.2,25,1008,0,0,0,0,0,0,0,0,0,0,0,0
19748,EP012004,AGATHA,5/25/04 12:00,,LO,18.5,-110,20,1009,0,0,0,0,0,0,0,0,0,0,0,0
19749,EP012004,AGATHA,5/25/04 18:00,,LO,18.4,-110.1,15,1010,0,0,0,0,0,0,0,0,0,0,0,0
